(751,3740) 2882 3387 3937 3821 2879 735 125 3735 3083 1299 2194 535 2888 1020 3422
(751,1220) 507 3401 719 460 537 3174 492 1678 1236 3525 1626 1945 215 468 2495
(751,3033) 2117 2348 3120 2497 227 3261 2360 2583 501 1025 761 1273 1379 1207 1126
(55,1544) 357 2469 368 508 593 2660 1221 290 2590 2302 3168 1810 1690 2334 203
(751,2423) 3676 1025 2416 1009 1730 1643 1670 3208 3709 107 234 709 3861 1702 2206
(751,1958) 3624 203 163 2615 3265 2772 3198 3434 277 2943 3706 2120 1011 441 1342
(751,2245) 2476 2454 2816 2967 383 514 1960 1277 1943 1356 3063 3200 459 529 900
(751,3448) 3250 2927 949 328 1177 3709 1252 1339 2940 105 180 496 1500 2575 345
(751,2406) 2066 3654 1388 2134 2779 1969 2805 1221 1970 2114 2019 2548 3928 2346 970
(751,2081) 2741 1648 2502 3681 1484 2089 2380 916 2875 2327 986 2090 390 3034 337
(751,2133) 1683 1646 1873 1188 1962 998 892 3111 373 2232 194 1942 2921 2939 1980
(751,3087) 3512 1124 1649 2401 2467 2891 2087 2383 3081 892 2642 3097 926 2615 2936
(751,2470) 351 2025 1611 2826 1633 838 2382 2771 31 2348 1033 3269 2922 456 2986
(751,2003) 880 3247 2412 190 519 3299 1264 157 1132 2899 3481 1885 2094 2070 3812
(751,2001) 2598 407 1080 1217 1591 69 1283 2203 431 3254 587 2130 2132 2943 2210
(751,2746) 1136 2939 544 3535 2330 2518 1445 2371 3551 2454 1605 907 2890 456 1281
(751,2054) 1722 2863 3791 1275 1670 3529 907 3430 3613 3545 339 1954 2009 3153 265
(751,2141) 3536 2728 1390 1604 3444 1753 1951 2961 1017 3255 3821 2210 3048 3146 1376
(751,2413) 2583 48 2409 949 1976 2757 521 611 2338 1441 180 1128 2019 3697 1193
(751,2375) 1672 3420 2600 1635 222 1178 1655 3680 3270 2629 1963 1665 232 2721 88
(751,2405) 735 252 2066 94 3007 2747 1217 2142 2474 905 1986 371 3827 1175 3431
(751,2794) 3723 1921 2374 1943 1674 3548 426 2919 3786 2761 2334 3608 3316 3557 1059
(751,2369) 1206 3041 1253 2394 3618 423 2496 1429 2802 63 2076 2429 405 2022 3203
(751,2378) 107 2068 1965 2382 1059 2322 936 289 266 597 3268 1395 3101 101 3501
(751,2478) 29 692 3735 1080 60 2851 232 2059 3328 2338 362 3148 288 2042 714
(751,1091) 2615 1242 1301 2390 2882 1605 1078 3598 491 951 2186 1866 2151 1952 1635
(751,2792) 1884 2915 3624 3501 3451 1147 1321 1750 1794 1179 1845 1939 2430 2948 2912
(55,367) 3462 511 5 1909 2973 2392 2772 849 3703 784 1597 709 1092 493 2097
(751,3392) 1654 2693 3751 2329 2393 2722 2255 2875 2287 2140 1230 903 2570 2879 1925
(751,1381) 381 2263 2370 2015 3534 378 2162 2279 546 2310 3426 2006 2352 2089 783
(751,3689) 3911 1282 2883 2023 3054 1080 1672 3431 1762 3429 3505 3928 2485 1090 100
(751,3693) 1078 2334 270 231 307 1295 1095 990 455 918 1972 1401 346 1272 81
(55,1918) 2967 2153 446 2596 3196 3654 2107 1468 2681 2379 3466 2406 3697 1033 1334
(55,2616) 3638 1925 2038 2654 2083 2867 2249 468 516 2863 2416 2787 1801 383 901
(751,318) 308 3826 2668 3091 58 2693 3016 3424 2530 2732 3469 2611 113 3426 1223
(751,527) 1935 3179 3451 1454 605 1007 1297 107 534 3244 1735 999 798 2163 2514
(751,593) 3770 125 3502 1199 426 1681 3340 249 3512 1833 2820 2808 327 282 1178
(534,2997) 3102 1392 428 2282 3082 2498 1388 426 1379 3504 3635 2660 2327 2598 2373
(751,1) 3508 2136 1194 781 1590 512 2389 2106 1591 3702 661 3591 575 2851 2377
(751,2997) 2078 2349 1013 3273 837 3467 2900 2315 2581 2498 1635 938 2852 3684 460
(751,296) 1949 266 1810 1211 596 2139 1249 1208 1357 2570 270 3360 946 3477 2654
(751,1358) 196 1919 1983 1589 3633 968 170 1092 407 2301 2567 1649 2793 3686 1294
(534,3114) 3766 1446 2866 3024 1378 518 2502 160 628 3512 3768 541 393 3072 3498
(751,3114) 2866 913 2068 294 1590 89 2125 3639 1015 1965 475 2382 337 2243 881
(534,2396) 3835 1663 2950 707 3863 2583 3178 3911 3744 1482 235 2919 900 1639 426
(751,47) 2731 2352 781 101 3034 1897 428 3032 2024 3553 3741 1208 2019 1704 293
