1 1391,2620
2 1380,1983,2576
3 2627,4403
4 3518,5657
5 2747,4637,5689
6 937,1950,3780
7 133,5355
8 3733,4279
9 1930,4981
10 1150,3060
11 2072,3762
12 2822,3842
13 3359,4446
14 618,692
15 940,5847
16 3947,5120
17 639,2344,3520
18 2872,2885
19 3905,4080
20 3988,5369,5371
21 1088,5336
22 218,5587
23 1943,4291
24 2199,3323
25 125,1303
26 3692,3963
27 953,4277,5757
28 2056,3512
29 2436,5184,5744
30 202,2857
31 1301,5327
32 952,1345,3487
33 2485,4467
34 198,608
35 1530,5397
36 352,5105
37 1882,5974
38 953,1611
39 922,1215
40 1599,3300
41 3885,5180
42 93,2559
43 3433,5038
44 1983,6035
45 3017,5450
46 4055,4783
47 2072,5289
48 5226,5426
49 4967,5602
50 131,4446,5264
51 1883,3562
52 2745,3993,4704
53 2810,3854
54 1464,3331
55 1837,5917
56 3618,5339
57 772,1392
58 1395,5056
59 349,2905,5350
60 2119,2368
61 696,3230
62 3154,4170
63 2873,5478
64 3,5249
65 1807,2120
66 2054,5951
67 4921,5580
68 2858,3601
69 2814,4745
70 2179,3569
71 1141,2695
72 2321,2768
73 2674,3691
74 329,1866,4107
75 3836,4213
76 4473,5975
77 1948,1988
78 2000,4915
79 3226,4024
80 4456,5019
81 2669,5684
82 500,4352
83 981,3727,4490
84 4884,5307
85 456,5230
86 400,4512
87 1182,4886,5140
88 1706,5636
89 274,3887
90 1084,3423,3648
91 3399,5120
92 550,1062,4318
93 1117,2459
94 35,2978,4064,4506
95 3229,5126
96 3581,4611
97 148,531
98 2102,4162
99 485,1712
100 5118,5339
101 2165,4200
102 117,3717,4078
103 1051,4585
104 295,2216
105 2968,5445
106 859,2694
107 2868,3143
108 869,3048,3760,4502
109 272,5387
110 462,2649
111 1685,2000
112 3072,4517,6036
113 424,5289,5390
114 4824,4977
115 3224,5407
116 4728,4780
117 3219,5319
118 752,4634,4809
119 1968,4658,5838
120 911,5248
121 2202,5371
122 216,1290
123 1088,2202,4446
124 3626,4483
125 3913,4186
126 3082,5321,5393
127 2003,4524
128 1266,3629
129 309,4892
130 190,752
131 2820,5173
132 1164,1632
133 1912,2676
134 346,690,5083
135 3487,3934
136 308,3871
137 2262,2995,3450
138 1161,2664
139 817,4422
140 2566,5042
141 2859,3547
142 1299,2125,5167
143 1113,2340,3821
144 2023,5270
145 876,1448
146 1597,3850
147 223,803
148 2121,5851
149 1279,3958
150 727,3729
151 531,3000
152 19,1409
153 3830,4785
154 4423,5070
155 2547,4656
156 4386,5420
157 2106,2680
158 1961,4248
159 2171,5397
160 4865,5531
161 229,4382
162 3621,5730
163 765,960
164 2293,2546,6037
165 2161,3884,4215
